filename,full_path,KKS,System_code,Line_number,System_code_short
TC021-INOV-0UMX90BQ002-SU_0.0_Sikla support drawing.pdf,C:\temp\rev 0 supports\PIRS Downloaded Files 2025-08-13 12_27_43\Abu Dhabi\Att.2\TC021-INOV-0UMX90BQ002-SU_0.0_Sikla support drawing.pdf,0UMX90BQ002,UMX90,0,UMX
TC021-INOV-0MAN10BQ001-SU_0.0_Sikla support drawing.pdf,C:\temp\rev 0 supports\PIRS Downloaded Files 2025-08-13 12_28_01\Abu Dhabi\Att.2\TC021-INOV-0MAN10BQ001-SU_0.0_Sikla support drawing.pdf,0MAN10BQ001,MAN10,0,MAN
TC021-INOV-0MAX80BQ002-SU_0.0_Sikla support drawing.pdf,C:\temp\rev 0 supports\PIRS Downloaded Files 2025-08-13 12_28_01\Abu Dhabi\Att.2\TC021-INOV-0MAX80BQ002-SU_0.0_Sikla support drawing.pdf,0MAX80BQ002,MAX80,0,MAX
TC021-INOV-0QCA40BQ044-SU_0.0_Sikla support drawing.pdf,C:\temp\rev 0 supports\PIRS Downloaded Files 2025-08-13 12_28_01\Abu Dhabi\Att.2\TC021-INOV-0QCA40BQ044-SU_0.0_Sikla support drawing.pdf,0QCA40BQ044,QCA40,0,QCA
TC021-INOV-0QCX10BQ002-SU_0.0_Sikla support drawing.pdf,C:\temp\rev 0 supports\PIRS Downloaded Files 2025-08-13 12_28_01\Abu Dhabi\Att.2\TC021-INOV-0QCX10BQ002-SU_0.0_Sikla support drawing.pdf,0QCX10BQ002,QCX10,0,QCX
TC021-INOV-0QFA32BQ005-SU_0.0_Sikla support drawing.pdf,C:\temp\rev 0 supports\PIRS Downloaded Files 2025-08-13 12_28_01\Abu Dhabi\Att.2\TC021-INOV-0QFA32BQ005-SU_0.0_Sikla support drawing.pdf,0QFA32BQ005,QFA32,0,QFA
TC021-INOV-0EGD60BQ109-SU_0.0_Sikla support drawing.pdf,C:\temp\rev 0 supports\PIRS Downloaded Files 2025-08-13 12_28_21\Abu Dhabi\Att.2\TC021-INOV-0EGD60BQ109-SU_0.0_Sikla support drawing.pdf,0EGD60BQ109,EGD60,0,EGD
TC021-INOV-0EGX50BQ009-SU_0.0_Sikla support drawing.pdf,C:\temp\rev 0 supports\PIRS Downloaded Files 2025-08-13 12_28_11\Abu Dhabi\Att.2\TC021-INOV-0EGX50BQ009-SU_0.0_Sikla support drawing.pdf,0EGX50BQ009,EGX50,0,EGX
TC021-INOV-0ETA20BQ003-SU_0.0_Sikla support drawing.pdf,C:\temp\rev 0 supports\PIRS Downloaded Files 2025-08-13 12_28_11\Abu Dhabi\Att.2\TC021-INOV-0ETA20BQ003-SU_0.0_Sikla support drawing.pdf,0ETA20BQ003,ETA20,0,ETA
TC021-INOV-0GAC05BQ030-SU_0.0_Sikla support drawing.pdf,C:\temp\rev 0 supports\PIRS Downloaded Files 2025-08-13 12_28_11\Abu Dhabi\Att.2\TC021-INOV-0GAC05BQ030-SU_0.0_Sikla support drawing.pdf,0GAC05BQ030,GAC05,0,GAC
TC021-INOV-0GCX55BQ016-SU_0.0_Sikla support drawing.pdf,C:\temp\rev 0 supports\PIRS Downloaded Files 2025-08-13 12_28_11\Abu Dhabi\Att.2\TC021-INOV-0GCX55BQ016-SU_0.0_Sikla support drawing.pdf,0GCX55BQ016,GCX55,0,GCX
TC021-INOV-0GHA20BQ055-SU_0.0_Sikla support drawing.pdf,C:\temp\rev 0 supports\PIRS Downloaded Files 2025-08-13 12_28_11\Abu Dhabi\Att.2\TC021-INOV-0GHA20BQ055-SU_0.0_Sikla support drawing.pdf,0GHA20BQ055,GHA20,0,GHA
