Filename,Page,POS,Description,Quantity,KKS_Codes,SU_Codes
TC021-INOV-1HBX10BQ008-SU_0.0_Sikla support drawing.pdf,1,0.32kg,,"1HBX10BQ008, 1HFX15BQ004, 1QFB93BQ001, 1QFB93BQ003, 1QFC20BQ021",1HBX10BQ008
TC021-INOV-1HBX10BQ008-SU_0.0_Sikla support drawing.pdf,1,114658,,"1HBX10BQ008, 1HFX15BQ004, 1QFB93BQ001, 1QFB93BQ003, 1QFC20BQ021",1HBX10BQ008
TC021-INOV-1HBX10BQ008-SU_0.0_Sikla support drawing.pdf,1,Assembly Group BG52-DN25,,"1HBX10BQ008, 1HFX15BQ004, 1QFB93BQ001, 1QFB93BQ003, 1QFC20BQ021",1HBX10BQ008
TC021-INOV-1HBX10BQ008-SU_0.0_Sikla support drawing.pdf,1,0.32kg,,"1HBX10BQ008, 1HFX15BQ004, 1QFB93BQ001, 1QFB93BQ003, 1QFC20BQ021",1HBX10BQ008
TC021-INOV-1HBX10BQ008-SU_0.0_Sikla support drawing.pdf,1,0.32kg,,"1HBX10BQ008, 1HFX15BQ004, 1QFB93BQ001, 1QFB93BQ003, 1QFC20BQ021",1HBX10BQ008
TC021-INOV-1HBX10BQ008-SU_0.0_Sikla support drawing.pdf,1,113107,,"1HBX10BQ008, 1HFX15BQ004, 1QFB93BQ001, 1QFB93BQ003, 1QFC20BQ021",1HBX10BQ008
TC021-INOV-1HBX10BQ008-SU_0.0_Sikla support drawing.pdf,1,Pipe Clamp Stabil Form C LK 49,,"1HBX10BQ008, 1HFX15BQ004, 1QFB93BQ001, 1QFB93BQ003, 1QFC20BQ021",1HBX10BQ008
TC021-INOV-1HBX10BQ008-SU_0.0_Sikla support drawing.pdf,1,0.58kg,,"1HBX10BQ008, 1HFX15BQ004, 1QFB93BQ001, 1QFB93BQ003, 1QFC20BQ021",1HBX10BQ008
TC021-INOV-1HBX10BQ008-SU_0.0_Sikla support drawing.pdf,1,0.58kg,,"1HBX10BQ008, 1HFX15BQ004, 1QFB93BQ001, 1QFB93BQ003, 1QFC20BQ021",1HBX10BQ008
TC021-INOV-1HBX10BQ008-SU_0.0_Sikla support drawing.pdf,1,113919,,"1HBX10BQ008, 1HFX15BQ004, 1QFB93BQ001, 1QFB93BQ003, 1QFC20BQ021",1HBX10BQ008
TC021-INOV-1HBX10BQ008-SU_0.0_Sikla support drawing.pdf,1,Rod Hanger Load Chain Assembly LKV M10,,"1HBX10BQ008, 1HFX15BQ004, 1QFB93BQ001, 1QFB93BQ003, 1QFC20BQ021",1HBX10BQ008
TC021-INOV-1HBX10BQ008-SU_0.0_Sikla support drawing.pdf,1,0.4kg,,"1HBX10BQ008, 1HFX15BQ004, 1QFB93BQ001, 1QFB93BQ003, 1QFC20BQ021",1HBX10BQ008
TC021-INOV-1HBX10BQ008-SU_0.0_Sikla support drawing.pdf,1,0.4kg,,"1HBX10BQ008, 1HFX15BQ004, 1QFB93BQ001, 1QFB93BQ003, 1QFC20BQ021",1HBX10BQ008
TC021-INOV-1HBX10BQ008-SU_0.0_Sikla support drawing.pdf,1,113023,,"1HBX10BQ008, 1HFX15BQ004, 1QFB93BQ001, 1QFB93BQ003, 1QFC20BQ021",1HBX10BQ008
TC021-INOV-1HBX10BQ008-SU_0.0_Sikla support drawing.pdf,1,siFramo Eye-Plate HP F 80 - A M10,,"1HBX10BQ008, 1HFX15BQ004, 1QFB93BQ001, 1QFB93BQ003, 1QFC20BQ021",1HBX10BQ008
TC021-INOV-1HBX10BQ008-SU_0.0_Sikla support drawing.pdf,1,0.6kg,,"1HBX10BQ008, 1HFX15BQ004, 1QFB93BQ001, 1QFB93BQ003, 1QFC20BQ021",1HBX10BQ008
TC021-INOV-1HBX10BQ008-SU_0.0_Sikla support drawing.pdf,1,0.6kg,,"1HBX10BQ008, 1HFX15BQ004, 1QFB93BQ001, 1QFB93BQ003, 1QFC20BQ021",1HBX10BQ008
TC021-INOV-1HBX10BQ008-SU_0.0_Sikla support drawing.pdf,1,114842,,"1HBX10BQ008, 1HFX15BQ004, 1QFB93BQ001, 1QFB93BQ003, 1QFC20BQ021",1HBX10BQ008
TC021-INOV-1HBX10BQ008-SU_0.0_Sikla support drawing.pdf,1,Threaded Rod GST M10/1000 HCP,,"1HBX10BQ008, 1HFX15BQ004, 1QFB93BQ001, 1QFB93BQ003, 1QFC20BQ021",1HBX10BQ008
